0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
HS,2011,201104,April 2011,2,0,1,Imports,842,United States of America,,699,India,,72,Iron and steel,0,,,,55368889,0
HS,2011,201104,April 2011,2,0,1,Imports,842,United States of America,,400,Jordan,,72,Iron and steel,0,,,,177100,0
HS,2011,201104,April 2011,2,0,1,Imports,842,United States of America,,716,Zimbabwe,,72,Iron and steel,0,,,,36180,0
HS,2011,201104,April 2011,2,0,1,Imports,842,United States of America,,604,Peru,,72,Iron and steel,0,,,,245862,0
HS,2011,201104,April 2011,2,0,1,Imports,842,United States of America,,170,Colombia,,72,Iron and steel,0,,,,4554737,0
HS,2011,201104,April 2011,2,0,1,Imports,842,United States of America,,620,Portugal,,72,Iron and steel,0,,,,1661900,0
HS,2011,201104,April 2011,2,0,1,Imports,842,United States of America,,554,New Zealand,,72,Iron and steel,0,,,,13849741,0
HS,2011,201104,April 2011,2,0,1,Imports,842,United States of America,,804,Ukraine,,72,Iron and steel,0,,,,63178437,0
HS,2011,201104,April 2011,2,0,1,Imports,842,United States of America,,784,United Arab Emirates,,72,Iron and steel,0,,,,540606,0
HS,2011,201104,April 2011,2,0,1,Imports,842,United States of America,,724,Spain,,72,Iron and steel,0,,,,11927747,0
HS,2011,201104,April 2011,2,0,1,Imports,842,United States of America,,203,Czech Rep.,,72,Iron and steel,0,,,,4516049,0
HS,2011,201104,April 2011,2,0,1,Imports,842,United States of America,,214,Dominican Rep.,,72,Iron and steel,0,,,,20207407,0
HS,2011,201104,April 2011,2,0,1,Imports,842,United States of America,,188,Costa Rica,,72,Iron and steel,0,,,,39445,0
HS,2011,201104,April 2011,2,0,1,Imports,842,United States of America,,862,Venezuela,,72,Iron and steel,0,,,,18293871,0
HS,2011,201104,April 2011,2,0,1,Imports,842,United States of America,,112,Belarus,,72,Iron and steel,0,,,,659541,0
HS,2011,201104,April 2011,2,0,1,Imports,842,United States of America,,458,Malaysia,,72,Iron and steel,0,,,,71058,0
