0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,188,Costa Rica,,72,Iron and steel,0,,,,218606,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,196,Cyprus,,72,Iron and steel,0,,,,4667,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,0,World,,72,Iron and steel,0,,,,2407467620,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,8,Albania,,72,Iron and steel,0,,,,454709,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,32,Argentina,,72,Iron and steel,0,,,,692704,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,36,Australia,,72,Iron and steel,0,,,,12696081,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,40,Austria,,72,Iron and steel,0,,,,25573805,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,44,Bahamas,,72,Iron and steel,0,,,,22183,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,48,Bahrain,,72,Iron and steel,0,,,,17480,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,56,Belgium,,72,Iron and steel,0,,,,17769922,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,76,Brazil,,72,Iron and steel,0,,,,235529167,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,92,Br. Virgin Isds,,72,Iron and steel,0,,,,7530,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,112,Belarus,,72,Iron and steel,0,,,,559434,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,124,Canada,,72,Iron and steel,0,,,,371485229,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,152,Chile,,72,Iron and steel,0,,,,801177,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,156,China,,72,Iron and steel,0,,,,256688362,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,170,Colombia,,72,Iron and steel,0,,,,275613,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,203,Czech Rep.,,72,Iron and steel,0,,,,15909089,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,208,Denmark,,72,Iron and steel,0,,,,132792,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,214,Dominican Rep.,,72,Iron and steel,0,,,,803803,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,218,Ecuador,,72,Iron and steel,0,,,,18620,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,222,El Salvador,,72,Iron and steel,0,,,,37388,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,246,Finland,,72,Iron and steel,0,,,,5303298,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,251,France,,72,Iron and steel,0,,,,58072692,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,268,Georgia,,72,Iron and steel,0,,,,15484278,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,276,Germany,,72,Iron and steel,0,,,,122455874,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,300,Greece,,72,Iron and steel,0,,,,30115,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,320,Guatemala,,72,Iron and steel,0,,,,2033677,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,344,"China, Hong Kong SAR",,72,Iron and steel,0,,,,444655,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,348,Hungary,,72,Iron and steel,0,,,,157846,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,352,Iceland,,72,Iron and steel,0,,,,277147,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,360,Indonesia,,72,Iron and steel,0,,,,2305151,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,372,Ireland,,72,Iron and steel,0,,,,323853,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,376,Israel,,72,Iron and steel,0,,,,4912,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,381,Italy,,72,Iron and steel,0,,,,82395000,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,392,Japan,,72,Iron and steel,0,,,,115849464,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,398,Kazakhstan,,72,Iron and steel,0,,,,2770,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,410,Rep. of Korea,,72,Iron and steel,0,,,,199270610,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,442,Luxembourg,,72,Iron and steel,0,,,,11537622,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,458,Malaysia,,72,Iron and steel,0,,,,3805276,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,484,Mexico,,72,Iron and steel,0,,,,136183456,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,490,"Other Asia, nes",,72,Iron and steel,0,,,,93029983,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,528,Netherlands,,72,Iron and steel,0,,,,66729210,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,531,Curaçao,,72,Iron and steel,0,,,,2611,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,540,New Caledonia,,72,Iron and steel,0,,,,6193150,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,554,New Zealand,,72,Iron and steel,0,,,,7706970,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,558,Nicaragua,,72,Iron and steel,0,,,,32559,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,579,Norway,,72,Iron and steel,0,,,,6915640,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,586,Pakistan,,72,Iron and steel,0,,,,4634,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,591,Panama,,72,Iron and steel,0,,,,215616,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,604,Peru,,72,Iron and steel,0,,,,87189,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,616,Poland,,72,Iron and steel,0,,,,632850,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,620,Portugal,,72,Iron and steel,0,,,,3529202,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,642,Romania,,72,Iron and steel,0,,,,1186481,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,643,Russian Federation,,72,Iron and steel,0,,,,101023228,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,659,Saint Kitts and Nevis,,72,Iron and steel,0,,,,2722,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,670,Saint Vincent and the Grenadines,,72,Iron and steel,0,,,,5487,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,682,Saudi Arabia,,72,Iron and steel,0,,,,150763,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,699,India,,72,Iron and steel,0,,,,62090089,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,702,Singapore,,72,Iron and steel,0,,,,196228,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,703,Slovakia,,72,Iron and steel,0,,,,283154,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,704,Viet Nam,,72,Iron and steel,0,,,,5713486,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,705,Slovenia,,72,Iron and steel,0,,,,6629769,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,710,South Africa,,72,Iron and steel,0,,,,76945406,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,716,Zimbabwe,,72,Iron and steel,0,,,,7781363,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,724,Spain,,72,Iron and steel,0,,,,20745318,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,752,Sweden,,72,Iron and steel,0,,,,47277650,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,757,Switzerland,,72,Iron and steel,0,,,,1576633,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,764,Thailand,,72,Iron and steel,0,,,,1584468,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,780,Trinidad and Tobago,,72,Iron and steel,0,,,,33128820,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,784,United Arab Emirates,,72,Iron and steel,0,,,,979358,0
HS,2015,201505,May 2015,2,0,1,Imports,842,United States of America,,792,Turkey,,72,Iron and steel,0,,,,76533672,0
