0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,170,Colombia,,72,Iron and steel,0,,,,606672,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,0,World,,72,Iron and steel,0,,,,2313190684,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,8,Albania,,72,Iron and steel,0,,,,330103,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,28,Antigua and Barbuda,,72,Iron and steel,0,,,,2370,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,32,Argentina,,72,Iron and steel,0,,,,1123867,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,36,Australia,,72,Iron and steel,0,,,,18351330,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,40,Austria,,72,Iron and steel,0,,,,18790852,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,44,Bahamas,,72,Iron and steel,0,,,,33074,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,56,Belgium,,72,Iron and steel,0,,,,16853224,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,60,Bermuda,,72,Iron and steel,0,,,,12144,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,64,Bhutan,,72,Iron and steel,0,,,,104025,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,70,Bosnia Herzegovina,,72,Iron and steel,0,,,,27957,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,76,Brazil,,72,Iron and steel,0,,,,217039381,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,100,Bulgaria,,72,Iron and steel,0,,,,23551,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,112,Belarus,,72,Iron and steel,0,,,,515555,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,124,Canada,,72,Iron and steel,0,,,,383407020,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,152,Chile,,72,Iron and steel,0,,,,280516,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,156,China,,72,Iron and steel,0,,,,204684959,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,188,Costa Rica,,72,Iron and steel,0,,,,270659,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,203,Czech Rep.,,72,Iron and steel,0,,,,3789460,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,208,Denmark,,72,Iron and steel,0,,,,31926,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,214,Dominican Rep.,,72,Iron and steel,0,,,,429315,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,218,Ecuador,,72,Iron and steel,0,,,,42631,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,222,El Salvador,,72,Iron and steel,0,,,,3980,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,246,Finland,,72,Iron and steel,0,,,,13248846,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,251,France,,72,Iron and steel,0,,,,46488777,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,268,Georgia,,72,Iron and steel,0,,,,15568327,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,276,Germany,,72,Iron and steel,0,,,,118071511,0
HS,2015,201507,July 2015,2,0,1,Imports,842,United States of America,,300,Greece,,72,Iron and steel,0,,,,105964,0
