0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
HS,2015,201508,August 2015,2,0,1,Imports,842,United States of America,,84,Belize,,72,Iron and steel,0,,,,4119,0
HS,2015,201508,August 2015,2,0,1,Imports,842,United States of America,,112,Belarus,,72,Iron and steel,0,,,,750615,0
HS,2015,201508,August 2015,2,0,1,Imports,842,United States of America,,124,Canada,,72,Iron and steel,0,,,,384122868,0
HS,2015,201508,August 2015,2,0,1,Imports,842,United States of America,,44,Bahamas,,72,Iron and steel,0,,,,35529,0
HS,2015,201508,August 2015,2,0,1,Imports,842,United States of America,,56,Belgium,,72,Iron and steel,0,,,,15612377,0
HS,2015,201508,August 2015,2,0,1,Imports,842,United States of America,,64,Bhutan,,72,Iron and steel,0,,,,50240,0
HS,2015,201508,August 2015,2,0,1,Imports,842,United States of America,,76,Brazil,,72,Iron and steel,0,,,,293806628,0
HS,2015,201508,August 2015,2,0,1,Imports,842,United States of America,,0,World,,72,Iron and steel,0,,,,2195506218,0
HS,2015,201508,August 2015,2,0,1,Imports,842,United States of America,,32,Argentina,,72,Iron and steel,0,,,,1060605,0
HS,2015,201508,August 2015,2,0,1,Imports,842,United States of America,,36,Australia,,72,Iron and steel,0,,,,24032626,0
HS,2015,201508,August 2015,2,0,1,Imports,842,United States of America,,40,Austria,,72,Iron and steel,0,,,,17650676,0
HS,2015,201508,August 2015,2,0,1,Imports,842,United States of America,,152,Chile,,72,Iron and steel,0,,,,441163,0
HS,2015,201508,August 2015,2,0,1,Imports,842,United States of America,,156,China,,72,Iron and steel,0,,,,127394039,0
HS,2015,201508,August 2015,2,0,1,Imports,842,United States of America,,170,Colombia,,72,Iron and steel,0,,,,5430163,0
HS,2015,201508,August 2015,2,0,1,Imports,842,United States of America,,188,Costa Rica,,72,Iron and steel,0,,,,400457,0
HS,2015,201508,August 2015,2,0,1,Imports,842,United States of America,,203,Czech Rep.,,72,Iron and steel,0,,,,2056934,0
HS,2015,201508,August 2015,2,0,1,Imports,842,United States of America,,208,Denmark,,72,Iron and steel,0,,,,128184,0
HS,2015,201508,August 2015,2,0,1,Imports,842,United States of America,,214,Dominican Rep.,,72,Iron and steel,0,,,,238593,0
HS,2015,201508,August 2015,2,0,1,Imports,842,United States of America,,218,Ecuador,,72,Iron and steel,0,,,,28802,0
