0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
H3,2009,2009,2009,2,0,1,Import,842,USA,USA,0,World,WLD,72,Iron and steel,1,No Quantity,,,13052701981,0
H3,2009,2009,2009,2,0,1,Import,842,USA,USA,8,Albania,ALB,72,Iron and steel,1,No Quantity,,,776205,0
H3,2009,2009,2009,2,0,1,Import,842,USA,USA,32,Argentina,ARG,72,Iron and steel,1,No Quantity,,,26416737,0
H3,2009,2009,2009,2,0,1,Import,842,USA,USA,36,Australia,AUS,72,Iron and steel,1,No Quantity,,,187723652,0
H3,2009,2009,2009,2,0,1,Import,842,USA,USA,40,Austria,AUT,72,Iron and steel,1,No Quantity,,,81857543,0
H3,2009,2009,2009,2,0,1,Import,842,USA,USA,44,Bahamas,BHS,72,Iron and steel,1,No Quantity,,,836496,0
H3,2009,2009,2009,2,0,1,Import,842,USA,USA,48,Bahrain,BHR,72,Iron and steel,1,No Quantity,,,2781986,0
H3,2009,2009,2009,2,0,1,Import,842,USA,USA,56,Belgium,BEL,72,Iron and steel,1,No Quantity,,,142940389,0
H3,2009,2009,2009,2,0,1,Import,842,USA,USA,76,Brazil,BRA,72,Iron and steel,1,No Quantity,,,983433201,0
H3,2009,2009,2009,2,0,1,Import,842,USA,USA,112,Belarus,BLR,72,Iron and steel,1,No Quantity,,,4996064,0
H3,2009,2009,2009,2,0,1,Import,842,USA,USA,124,Canada,CAN,72,Iron and steel,1,No Quantity,,,3298263815,0
H3,2009,2009,2009,2,0,1,Import,842,USA,USA,136,Cayman Isds,CYM,72,Iron and steel,1,No Quantity,,,39793,0
H3,2009,2009,2009,2,0,1,Import,842,USA,USA,152,Chile,CHL,72,Iron and steel,1,No Quantity,,,42354523,0
H3,2009,2009,2009,2,0,1,Import,842,USA,USA,156,China,CHN,72,Iron and steel,1,No Quantity,,,541153574,0
H3,2009,2009,2009,2,0,1,Import,842,USA,USA,170,Colombia,COL,72,Iron and steel,1,No Quantity,,,60394269,0
H3,2009,2009,2009,2,0,1,Import,842,USA,USA,188,Costa Rica,CRI,72,Iron and steel,1,No Quantity,,,339499,0
H3,2009,2009,2009,2,0,1,Import,842,USA,USA,191,Croatia,HRV,72,Iron and steel,1,No Quantity,,,20848,0
H3,2009,2009,2009,2,0,1,Import,842,USA,USA,203,Czechia,CZE,72,Iron and steel,1,No Quantity,,,22178038,0
H3,2009,2009,2009,2,0,1,Import,842,USA,USA,208,Denmark,DNK,72,Iron and steel,1,No Quantity,,,7517921,0
