0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,0,World,WLD,72,Iron and steel,1,No Quantity,,,14114103292,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,8,Albania,ALB,72,Iron and steel,1,No Quantity,,,5451119,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,28,Antigua and Barbuda,ATG,72,Iron and steel,1,No Quantity,,,9955,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,32,Argentina,ARG,72,Iron and steel,1,No Quantity,,,59489594,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,36,Australia,AUS,72,Iron and steel,1,No Quantity,,,205539236,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,40,Austria,AUT,72,Iron and steel,1,No Quantity,,,58156615,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,44,Bahamas,BHS,72,Iron and steel,1,No Quantity,,,109139,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,48,Bahrain,BHR,72,Iron and steel,1,No Quantity,,,4665,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,58,Belgium-Luxembourg,BEL,72,Iron and steel,1,No Quantity,,,430334386,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,76,Brazil,BRA,72,Iron and steel,1,No Quantity,,,1159232318,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,84,Belize,BLZ,72,Iron and steel,1,No Quantity,,,8067,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,100,Bulgaria,BGR,72,Iron and steel,1,No Quantity,,,6031275,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,112,Belarus,BLR,72,Iron and steel,1,No Quantity,,,431784,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,124,Canada,CAN,72,Iron and steel,1,No Quantity,,,2468670607,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,136,Cayman Isds,CYM,72,Iron and steel,1,No Quantity,,,492507,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,152,Chile,CHL,72,Iron and steel,1,No Quantity,,,13130376,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,156,China,CHN,72,Iron and steel,1,No Quantity,,,229632813,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,170,Colombia,COL,72,Iron and steel,1,No Quantity,,,10658808,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,188,Costa Rica,CRI,72,Iron and steel,1,No Quantity,,,133599,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,191,Croatia,HRV,72,Iron and steel,1,No Quantity,,,6501105,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,203,Czechia,CZE,72,Iron and steel,1,No Quantity,,,35772524,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,208,Denmark,DNK,72,Iron and steel,1,No Quantity,,,5812268,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,214,Dominican Rep.,DOM,72,Iron and steel,1,No Quantity,,,67044124,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,218,Ecuador,ECU,72,Iron and steel,1,No Quantity,,,326932,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,222,El Salvador,SLV,72,Iron and steel,1,No Quantity,,,8241,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,233,Estonia,EST,72,Iron and steel,1,No Quantity,,,6457124,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,246,Finland,FIN,72,Iron and steel,1,No Quantity,,,124642619,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,251,France,FRA,72,Iron and steel,1,No Quantity,,,739565259,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,268,Georgia,GEO,72,Iron and steel,1,No Quantity,,,2069632,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,276,Germany,DEU,72,Iron and steel,1,No Quantity,,,1125532987,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,300,Greece,GRC,72,Iron and steel,1,No Quantity,,,42138665,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,320,Guatemala,GTM,72,Iron and steel,1,No Quantity,,,32680,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,332,Haiti,HTI,72,Iron and steel,1,No Quantity,,,19395,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,340,Honduras,HND,72,Iron and steel,1,No Quantity,,,837195,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,344,"China, Hong Kong SAR",HKG,72,Iron and steel,1,No Quantity,,,487453,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,348,Hungary,HUN,72,Iron and steel,1,No Quantity,,,7977701,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,352,Iceland,ISL,72,Iron and steel,1,No Quantity,,,31451787,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,360,Indonesia,IDN,72,Iron and steel,1,No Quantity,,,12079614,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,372,Ireland,IRL,72,Iron and steel,1,No Quantity,,,2136761,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,376,Israel,ISR,72,Iron and steel,1,No Quantity,,,2571077,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,381,Italy,ITA,72,Iron and steel,1,No Quantity,,,376044932,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,388,Jamaica,JAM,72,Iron and steel,1,No Quantity,,,606102,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,392,Japan,JPN,72,Iron and steel,1,No Quantity,,,1196060330,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,398,Kazakhstan,KAZ,72,Iron and steel,1,No Quantity,,,63885103,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,400,Jordan,JOR,72,Iron and steel,1,No Quantity,,,95815,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,410,Rep. of Korea,KOR,72,Iron and steel,1,No Quantity,,,461941917,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,417,Kyrgyzstan,KGZ,72,Iron and steel,1,No Quantity,,,17945,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,428,Latvia,LVA,72,Iron and steel,1,No Quantity,,,5297844,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,440,Lithuania,LTU,72,Iron and steel,1,No Quantity,,,1399042,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,458,Malaysia,MYS,72,Iron and steel,1,No Quantity,,,158482,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,484,Mexico,MEX,72,Iron and steel,1,No Quantity,,,1036558908,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,490,"Other Asia, nes",,72,Iron and steel,1,No Quantity,,,115426084,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,498,Rep. of Moldova,MDA,72,Iron and steel,1,No Quantity,,,15746724,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,528,Netherlands,NLD,72,Iron and steel,1,No Quantity,,,380586752,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,530,Neth. Antilles,ANT,72,Iron and steel,1,No Quantity,,,4135,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,533,Aruba,ABW,72,Iron and steel,1,No Quantity,,,57350,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,540,New Caledonia,NCL,72,Iron and steel,1,No Quantity,,,29141783,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,554,New Zealand,NZL,72,Iron and steel,1,No Quantity,,,37507942,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,558,Nicaragua,NIC,72,Iron and steel,1,No Quantity,,,11418,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,574,Norfolk Isds,NFK,72,Iron and steel,1,No Quantity,,,282833,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,579,Norway,NOR,72,Iron and steel,1,No Quantity,,,129050356,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,584,Marshall Isds,MHL,72,Iron and steel,1,No Quantity,,,3781,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,591,Panama,PAN,72,Iron and steel,1,No Quantity,,,2383471,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,604,Peru,PER,72,Iron and steel,1,No Quantity,,,598200,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,608,Philippines,PHL,72,Iron and steel,1,No Quantity,,,123527,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,616,Poland,POL,72,Iron and steel,1,No Quantity,,,37683253,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,620,Portugal,PRT,72,Iron and steel,1,No Quantity,,,6458085,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,642,Romania,ROU,72,Iron and steel,1,No Quantity,,,18986940,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,643,Russian Federation,RUS,72,Iron and steel,1,No Quantity,,,612611019,0
H1,1996,1996,1996,2,0,1,Import,842,USA,USA,646,Rwanda,RWA,72,Iron and steel,1,No Quantity,,,50033,0
