0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,591,Panama,,73,Iron or steel articles,0,,,,46393,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,233,Estonia,,73,Iron or steel articles,0,,,,330272,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,784,United Arab Emirates,,73,Iron or steel articles,0,,,,11165795,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,512,Oman,,73,Iron or steel articles,0,,,,1259800,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,124,Canada,,73,Iron or steel articles,0,,,,324005337,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,604,Peru,,73,Iron or steel articles,0,,,,42958,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,496,Mongolia,,73,Iron or steel articles,0,,,,18750,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,694,Sierra Leone,,73,Iron or steel articles,0,,,,9705,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,388,Jamaica,,73,Iron or steel articles,0,,,,5798,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,0,World,,73,Iron or steel articles,0,,,,2208135216,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,203,Czech Rep.,,73,Iron or steel articles,0,,,,13602849,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,757,Switzerland,,73,Iron or steel articles,0,,,,11484893,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,320,Guatemala,,73,Iron or steel articles,0,,,,466185,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,446,"China, Macao SAR",,73,Iron or steel articles,0,,,,20306,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,56,Belgium,,73,Iron or steel articles,0,,,,3421947,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,208,Denmark,,73,Iron or steel articles,0,,,,4540520,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,710,South Africa,,73,Iron or steel articles,0,,,,3203909,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,579,Norway,,73,Iron or steel articles,0,,,,4070964,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,188,Costa Rica,,73,Iron or steel articles,0,,,,908537,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,764,Thailand,,73,Iron or steel articles,0,,,,19076189,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,344,"China, Hong Kong SAR",,73,Iron or steel articles,0,,,,2746121,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,458,Malaysia,,73,Iron or steel articles,0,,,,9657130,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,332,Haiti,,73,Iron or steel articles,0,,,,5700,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,540,New Caledonia,,73,Iron or steel articles,0,,,,30806,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,156,China,,73,Iron or steel articles,0,,,,600526622,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,76,Brazil,,73,Iron or steel articles,0,,,,11441767,0
HS,2010,201003,March 2010,2,0,1,Imports,842,United States of America,,360,Indonesia,,73,Iron or steel articles,0,,,,15197365,0
